Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2020,,Fanum,,,Cantina Stefanoni,Lazio,,7,Cabernet franc 50% – Syrah 35% – Merlot 15%,Legno 12 mesi Guanciale di vitello in umido con patate,,,82,nd,nd,,,,,13,5,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Roscetto Colle De’ Poggeri,,,Cantina Stefanoni,Lazio,,7,Rossetto 100%,Coniglio alla cacciatora,,,82,nd,nd,,,,,13,5,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Metis,,,Caprigliano,Lazio,,8,Merlot 100%,Ravioli di patate e baccalà,,,86,nd,nd,,,,,13,1,,Acciaio 4 mesi,,,"Rosa tenue di ottima luce. Eleganti guizzi di ciliegie e lamponi si uniscono un floreale di geranio e peonia e grani di pepe rosa. Buono è l’equilibrio gustativo: la ricca dotazione alcolica è ben coadiuvata dalla freschezza e dalla sapidità, regalando una lunga e piacevole estensione.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Musalè,,,Caprigliano,Lazio,,8,Cabernet sauvignon 100%,Nodini di cinta senese lardellati al forno,,,86,nd,nd,,,,,13,1,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Pian Sant’Angelo,,,Caprigliano,Lazio,,8,Chardonnay 100%,Orata all’acqua pazza,,,86,nd,nd,,,,,13,1,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Aìs,,,Caprigliano,Lazio,,8,Sauvignon 100%,Vellutata di finferli con crostini,,,82,nd,nd,,,,,13,1,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Poggesco,,,Caprigliano,Lazio,,8,Merlot 50% – Sangiovese 50%,Spezzatino di manzo,,,82,nd,nd,,,,,13,1,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Solatio,,,Caprigliano,Lazio,,8,Sangiovese 100%,Tagliatelle al ragù,,,82,nd,nd,,,,,13,1,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Apolide,,,Marco Carpineti,Lazio,,30,Nero buono 100%,Capretto arrosto alle erbe aromatiche,,,91,nd,nd,,,,,15,6,,Legno 24 mesi,,,"Rosso rubino compatto. Lo spettro dei profumi è variegato, si apre con piccoli frutti scuri in confettura, cenni di liquirizia e tabacco biondo, poi subentra il rabarbaro. Ingresso caldo, tannino rifinito, perfetta linea fresco-sapida. Interminabili velature balsamiche e fruttate.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Dithyrambus,,,Marco Carpineti,Lazio,,30,Montepulciano 100%,Legno 24 mesi Cosciotto d’agnello al forno con patate novelle,,,89,nd,nd,,,,,15,6,,Legno 24 mesi,,,,Italy,,,
